# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,
# Tue Nov 12 08:43:48 2019,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_plnt_num:   Planet Number,,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_period:     Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_period_err: Orbital Period Unc. [days],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_time0bk:    Transit Epoch [BKJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_time0bk_err: Transit Epoch Unc. [BKJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_impact:     Impact Parameter,,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_impact_err: Impact Parameter Unc.,,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_duration:   Transit Duration [hrs],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_duration_err: Transit Duration Unc. [hrs],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_depth:      Transit Depth [ppm],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_depth_err:  Transit Depth Unc. [ppm],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_model_snr:  Transit Signal-to-Noise (SNR),,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_prad_err:   Planetary Radius Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_eqt:        Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_eqt_err:    Equilibrium Temperature Unc. [K],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_steff_err:  Stellar Effective Temperature Unc. [K],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_slogg_err:  Stellar Surface Gravity Unc. [log10(cm/s**2)],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_sradius:    Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN tce_sradius_err: Stellar Radius Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1162345,2,0.831850,6.69307E-05,132.227,3.5197E-02,9.26E-01,1.471E+00,2.3920,2.1E+01,6.092E+00,2.636E+00,2.95E+00,0.5099000,7.944E-01,2.76E+03,6.37E+02,6510.00,207.00,4.07,0.26,1.728,0.791
1292087,2,1.095240,1.00934E-05,132.133,2.68501E-03,2.563E-01,1.331E+01,2.1220,4.755E-01,3.453E+01,4.427E+00,1.06E+01,0.8916000,6.361E-01,2.31E+03,6.61E+02,6328.00,207.00,4.15,0.29,1.502,0.852
1293031,2,0.719273,1.38833E-05,132.227,2.78626E-03,7E-01,1.103E+00,1.5210,3.183E-01,2.968E+01,5.248E+00,8.302E+00,1.4550000,4.296E-01,3.33E+03,7.03E+02,6363.00,214.00,3.80,0.35,2.489,1.036
1162345,3,0.831833,9.43102E-06,131.919,2.20914E-03,9.536E-02,5.177E+01,2.1810,1.211E+00,2.71E+01,3.55E+00,1.195E+01,0.9062000,8.488E-01,2.76E+03,6.37E+02,6510.00,207.00,4.07,0.26,1.728,0.791
1164109,1,622.408000,8.54739E-03,162.256,9.84037E-03,3.19E-03,2.193E+03,12.0100,1.843E+00,1.613E+02,5.908E+01,3.719E+00,2.1140000,2.599E+00,3.02E+02,7.5E+01,6609.00,200.00,4.11,0.28,1.654,0.816
757450,1,8.884920,1.18615E-06,134.452,1.01491E-04,5.677E-02,9.502E-01,2.0780,2.395E-02,1.631E+04,3.953E+01,4.733E+02,10.5700000,1.536E-01,7.7E+02,2.76E+01,5332.00,102.00,4.50,0.04,0.843,0.051
892667,1,2.262110,2.7266E-05,132.171,6.53111E-03,3E-01,1.061E+01,7.5090,5.198E+00,2.941E+01,3.403E+00,9.239E+00,0.9107000,5.836E-01,1.96E+03,4.86E+02,6609.00,236.00,4.11,0.28,1.654,0.811
892772,1,5.092600,3.14455E-05,133.451,4.82104E-03,3E-01,1.609E+01,3.3990,2.426E-01,2.465E+02,1.738E+01,1.525E+01,1.1600000,1.729E+00,8.44E+02,7.86E+01,5037.00,197.00,4.55,0.12,0.751,0.127
1026032,1,8.460440,3.82225E-07,133.774,3.81663E-05,9.829E-01,3.638E-02,4.8040,2.01E-03,7.65E+04,3.261E+01,2.368E+03,32.0900000,2.053E+00,8.01E+02,1.04E+02,5923.00,191.00,4.64,0.18,0.704,0.178
1026032,2,4.230220,7.32715E-07,133.998,1.39229E-04,9.991E-01,3.854E-02,4.6060,6.932E-03,2.881E+04,9.389E+01,1.311E+03,20.5800000,2.106E+00,1.01E+03,1.32E+02,5923.00,191.00,4.64,0.18,0.704,0.178
1026133,2,2.691910,2.12826E-05,132.267,4.65315E-03,2.052E-01,1.66E+01,5.5300,1.304E+00,4.043E+01,3.79E+00,1.197E+01,1.0430000,6.464E-01,1.92E+03,5.46E+02,7003.00,299.00,4.15,0.32,1.617,0.909
1026133,1,1.346290,2.25304E-05,132.842,1.18356E-02,9.948E-01,7.228E-03,1.6260,2.712E-01,3.194E+01,3.69E+00,1.152E+01,1.3640000,4.932E-01,2.42E+03,6.88E+02,7003.00,299.00,4.15,0.32,1.617,0.909
1028018,1,0.614378,9.73376E-06,131.652,1.01036E-03,2.898E-01,6.551E+00,1.4480,2.51E-01,1.293E+02,1.615E+01,1.086E+01,1.5540000,6.71E-01,2.6E+03,5.47E+02,5930.00,170.00,4.14,0.26,1.353,0.565
